Field ID	Description	Category	datatype
23016	HBc antigen for Hepatitis B Virus	Infectious Disease Antigens	Integer
23017	HBe antigen for Hepatitis B Virus	Infectious Disease Antigens	Integer
23025	HIV-1 env antigen for Human Immunodeficiency Virus	Infectious Disease Antigens	Integer
23024	HIV-1 gag antigen for Human Immunodeficiency Virus	Infectious Disease Antigens	Integer
23023	HTLV-1 env antigen for Human T-Lymphotropic Virus 1	Infectious Disease Antigens	Integer
23022	HTLV-1 gag antigen for Human T-Lymphotropic Virus 1	Infectious Disease Antigens	Integer
46	Hand grip strength (left)	Hand grip strength	Integer
47	Hand grip strength (right)	Hand grip strength	Integer
12673	Heart rate during PWA	Pulse wave analysis	Integer
12144	Height	Body size measures	Integer
22701	Home location - east co-ordinate	Home locations	Integer
22702	Home location - east co-ordinate (rounded)	Home locations	Integer
22703	Home location - north co-ordinate	Home locations	Integer
22704	Home location - north co-ordinate (rounded)	Home locations	Integer
20033	Home location at assessment - east co-ordinate	Reception	Integer
20074	Home location at assessment - east co-ordinate (rounded)	Reception	Integer
20034	Home location at assessment - north co-ordinate	Reception	Integer
20075	Home location at assessment - north co-ordinate (rounded)	Reception	Integer
23010	IE1A antigen for Human Herpesvirus-6	Infectious Disease Antigens	Integer
23011	IE1B antigen for Human Herpesvirus-6	Infectious Disease Antigens	Integer
21661	Imaging screening duration	Process durations	Integer
5276	Index of best refractometry result (left)	Autorefraction	Integer
5221	Index of best refractometry result (right)	Autorefraction	Integer
90180	Interrupted recording periods	Raw accelerometer statistics	Integer
6773	Interval between previous point and current one in alphanumeric path (trail #2)	Trail making	Integer
20155	Interval between previous point and current one in alphanumeric path (trail #2)	Trail making	Integer
6772	Interval between previous point and current one in numeric path (trail #1)	Trail making	Integer
20149	Interval between previous point and current one in numeric path (trail #1)	Trail making	Integer
23027	JC VP1 antigen for Human Polyomavirus JCV	Infectious Disease Antigens	Integer
23015	K8.1 antigen for Kaposi's Sarcoma-Associated Herpesvirus	Infectious Disease Antigens	Integer
23029	L1 antigen for Human Papillomavirus type-16	Infectious Disease Antigens	Integer
23032	L1 antigen for Human Papillomavirus type-18	Infectious Disease Antigens	Integer
23014	LANA antigen for Kaposi's Sarcoma-Associated Herpesvirus	Infectious Disease Antigens	Integer
22420	LV ejection fraction	Left ventricular size and function	Integer
22421	LV end diastolic volume	Left ventricular size and function	Integer
22422	LV end systolic volume	Left ventricular size and function	Integer
22423	LV stroke volume	Left ventricular size and function	Integer
21043	Least number of times bowels opened per week	Digestive health	Integer
23266	Leg fat mass (left)	Body composition by DXA	Integer
23270	Leg fat mass (right)	Body composition by DXA	Integer
23267	Leg lean mass (left)	Body composition by DXA	Integer
23271	Leg lean mass (right)	Body composition by DXA	Integer
23274	Legs fat mass	Body composition by DXA	Integer
23275	Legs lean mass	Body composition by DXA	Integer
3710	Length of menstrual cycle	Female-specific factors	Integer
699	Length of time at current address	Household	Integer
767	Length of working week for main job	Employment	Integer
20442	Lifetime number of depressed periods	Depression	Integer
3669	Lifetime number of same-sex sexual partners	Sexual factors	Integer
2149	Lifetime number of sexual partners	Sexual factors	Integer
4609	Longest period of depression	Mental health	Integer
5375	Longest period of unenthusiasm / disinterest	Mental health	Integer
20420	Longest period spent worried or anxious	Anxiety	Integer
23028	MC VP1 antigen for Merkel Cell Polyomavirus	Infectious Disease Antigens	Integer
4282	Maximum digits remembered correctly	Numeric memory	Integer
20240	Maximum digits remembered correctly	Numeric memory	Integer
6033	Maximum heart rate during fitness test	ECG during exercise	Integer
90186	Maximum readings exceeding +/-8 gravities after calibration in a 5 second epoch	Raw accelerometer statistics	Integer
90184	Maximum readings exceeding +/-8 gravities before calibration in a 5 second epoch	Raw accelerometer statistics	Integer
6032	Maximum workload during fitness test	ECG during exercise	Integer
12687	Mean arterial pressure during PWA	Pulse wave analysis	Integer
20023	Mean time to correctly identify matches	Reaction time	Integer
21633	Measurement/Impedance duration (pilot)	Process durations	Integer
2355	Most recent bowel cancer screening	Cancer screening	Integer
41286	Mother age on date of delivery	Summary Maternity	Integer
1845	Mother's age	Family history	Integer
3526	Mother's age at death	Family history	Integer
23019	NS3 antigen for Hepatitis C Virus	Infectious Disease Antigens	Integer
20127	Neuroticism score	Mental health	Integer
90086	Non wear episodes over 1 hour duration	Accelerometer wear time duration	Integer
87	Non-cancer illness year/age first occurred	Medical conditions	Integer
709	Number in household	Household	Integer
26568	Number of HolesBeforeFixing (left hemisphere)	Freesurfer ASEG	Integer
26599	Number of HolesBeforeFixing (right hemisphere)	Freesurfer ASEG	Integer
12699	Number of PWA tests performed	Pulse wave analysis	Integer
3972	Number of adopted brothers	Family history	Integer
3982	Number of adopted sisters	Family history	Integer
6671	Number of antibiotics taken in last 3 months	Medications	Integer
4291	Number of attempts	Prospective memory	Integer
12654	Number of automated diagnostic comments recorded during 12-lead ECG	ECG at rest, 12-lead	Integer
68	Number of blood samples taken	Blood sample collection	Integer
2405	Number of children fathered	Male-specific factors	Integer
3456	Number of cigarettes currently smoked daily (current cigarette smokers)	Smoking	Integer
2887	Number of cigarettes previously smoked daily	Smoking	Integer
6183	Number of cigarettes previously smoked daily (current cigar/pipe smokers)	Smoking	Integer
396	Number of columns displayed in round	Pairs matching	Integer
398	Number of correct matches in round	Pairs matching	Integer
20131	Number of correct matches in round	Pairs matching	Integer
10136	Number of correct matches in round (pilot)	Pairs matching	Integer
25746	Number of dMRI outlier slices detected and corrected	Diffusion brain MRI	Integer
884	Number of days/week of moderate physical activity 10+ minutes	Physical activity	Integer
904	Number of days/week of vigorous physical activity 10+ minutes	Physical activity	Integer
864	Number of days/week walked 10+ minutes	Physical activity	Integer
4620	Number of depression episodes	Mental health	Integer
20077	Number of diet questionnaires completed	Diet questionnaire performance	Integer
20128	Number of fluid intelligence questions attempted within time limit	Fluid intelligence / reasoning	Integer
20192	Number of fluid intelligence questions attempted within time limit	Fluid intelligence / reasoning	Integer
1873	Number of full brothers	Family history	Integer
1883	Number of full sisters	Family history	Integer
22661	Number of gap periods	Employment history	Integer
12148	Number of imaging stages blocked at screening	Procedural metrics	Integer
399	Number of incorrect matches in round	Pairs matching	Integer
20132	Number of incorrect matches in round	Pairs matching	Integer
10137	Number of incorrect matches in round (pilot)	Pairs matching	Integer
22599	Number of jobs held	Employment history	Integer
2734	Number of live births	Female-specific factors	Integer
3137	Number of measurements made	Spirometry	Integer
22643	Number of night shifts worked monthly during mixed shift periods	Employment history	Integer
22653	Number of night shifts worked monthly during night shift periods	Employment history	Integer
5057	Number of older siblings	Family history	Integer
136	Number of operations, self-reported	Operations	Integer
3849	Number of pregnancy terminations	Female-specific factors	Integer
6383	Number of puzzles attempted	Tower rearranging	Integer
6382	Number of puzzles correct	Tower rearranging	Integer
21004	Number of puzzles correct	Tower rearranging	Integer
6373	Number of puzzles correctly solved	Matrix pattern completion	Integer
6374	Number of puzzles viewed	Matrix pattern completion	Integer
4283	Number of rounds of numeric memory test performed	Numeric memory	Integer
397	Number of rows displayed in round	Pairs matching	Integer
134	Number of self-reported cancers	Medical conditions	Integer
135	Number of self-reported non-cancer illnesses	Medical conditions	Integer
3839	Number of spontaneous miscarriages	Female-specific factors	Integer
3829	Number of stillbirths	Female-specific factors	Integer
20195	Number of symbol digit matches attempted	Symbol digit substitution	Integer
23323	Number of symbol digit matches attempted	Symbol digit substitution	Integer
20159	Number of symbol digit matches made correctly	Symbol digit substitution	Integer
23324	Number of symbol digit matches made correctly	Symbol digit substitution	Integer
20470	Number of times believed in an un-real conspiracy against self	Unusual and psychotic experiences	Integer
20476	Number of times believed in un-real communications or signs	Unusual and psychotic experiences	Integer
20465	Number of times heard an un-real voice	Unusual and psychotic experiences	Integer
20473	Number of times seen an un-real vision	Unusual and psychotic experiences	Integer
403	Number of times snap-button pressed	Reaction time	Integer
10141	Number of times snap-button pressed (pilot)	Reaction time	Integer
137	Number of treatments/medications taken	Medications	Integer
6038	Number of trend entries	ECG during exercise	Integer
4269	Number of triplets attempted (left)	Hearing test	Integer
4276	Number of triplets attempted (right)	Hearing test	Integer
5386	Number of unenthusiastic/disinterested episodes	Mental health	Integer
2926	Number of unsuccessful stop-smoking attempts	Smoking	Integer
21047	Number of weeks (in the last year) at work suffering because of IBS	Digestive health	Integer
21045	Number of weeks absent from work due to IBS, in the last year	Digestive health	Integer
41276	Number of weeks of gestation	Summary Maternity	Integer
20197	Number of word pairs correctly associated	Paired associate learning	Integer
10612	Number of words beginning with 'S' (pilot)	Word production	Integer
23041	OMP antigen for Helicobacter pylori	Infectious Disease Antigens	Integer
92	Operation year/age first occurred	Operations	Integer
22335	P axis	ECG at rest, 12-lead	Integer
12338	P duration	ECG at rest, 12-lead	Integer
22334	PP interval	ECG at rest, 12-lead	Integer
22330	PQ interval	ECG at rest, 12-lead	Integer
3064	Peak expiratory flow (PEF)	Spirometry	Integer
10696	Peak expiratory flow (PEF) (pilot)	Spirometry	Integer
12676	Peripheral pulse pressure during PWA	Pulse wave analysis	Integer
21632	Pilot Spirometry duration	Process durations	Integer
130	Place of birth in UK - east co-ordinate	Early life factors	Integer
129	Place of birth in UK - north co-ordinate	Early life factors	Integer
23037	PorB antigen for Chlamydia trachomatis	Infectious Disease Antigens	Integer
4194	Pulse rate	Arterial stiffness	Integer
95	Pulse rate (during blood-pressure measurement)	Blood pressure	Integer
102	Pulse rate, automated reading	Blood pressure	Integer
4196	Pulse wave peak to peak time	Arterial stiffness	Integer
4195	Pulse wave reflection index	Arterial stiffness	Integer
12340	QRS duration	ECG at rest, 12-lead	Integer
22338	QRS num	ECG at rest, 12-lead	Integer
22331	QT interval	ECG at rest, 12-lead	Integer
22332	QTC interval	ECG at rest, 12-lead	Integer
22336	R axis	ECG at rest, 12-lead	Integer
22333	RR interval	ECG at rest, 12-lead	Integer
90185	Readings exceeding +/-8 gravities after calibration	Raw accelerometer statistics	Integer
90183	Readings exceeding +/-8 gravities before calibration	Raw accelerometer statistics	Integer
21611	Reception duration	Process durations	Integer
40009	Reported occurrences of cancer	Cancer register	Integer
22645	Rest days during mixed shift periods	Employment history	Integer
22655	Rest days during night shift periods	Employment history	Integer
4260	Round of numeric memory test	Numeric memory	Integer
1299	Salad / raw vegetable intake	Diet	Integer
21642	Sample collection duration	Process durations	Integer
4230	Signal-to-noise-ratio (SNR) of triplet (left)	Hearing test	Integer
4241	Signal-to-noise-ratio (SNR) of triplet (right)	Hearing test	Integer
1160	Sleep duration	Sleep	Integer
41235	Spells in hospital	Summary Administration	Integer
12686	Stroke volume during PWA	Pulse wave analysis	Integer
22033	Summed days activity	MET Scores	Integer
22034	Summed minutes activity	MET Scores	Integer
4080	Systolic blood pressure, automated reading	Blood pressure	Integer
93	Systolic blood pressure, manual reading	Blood pressure	Integer
12697	Systolic brachial blood pressure	Pulse wave analysis	Integer
12674	Systolic brachial blood pressure during PWA	Pulse wave analysis	Integer
22337	T axis	ECG at rest, 12-lead	Integer
1488	Tea intake	Diet	Integer
757	Time employed in main current job	Employment	Integer
3700	Time since last menstrual period	Female-specific factors	Integer
3809	Time since last prostate specific antigen (PSA) test	Cancer screening	Integer
1050	Time spend outdoors in summer	Sun exposure	Integer
1090	Time spent driving	Physical activity	Integer
1060	Time spent outdoors in winter	Sun exposure	Integer
1080	Time spent using computer	Physical activity	Integer
1070	Time spent watching television (TV)	Physical activity	Integer
10144	Time taken to complete lights test (pilot)	Lights pattern memory	Integer
4288	Time to answer	Prospective memory	Integer
400	Time to complete round	Pairs matching	Integer
20133	Time to complete round	Pairs matching	Integer
10138	Time to complete round (pilot)	Pairs matching	Integer
90187	Total data readings	Raw accelerometer statistics	Integer
6351	Total errors traversing alphanumeric path (trail #2)	Trail making	Integer
20248	Total errors traversing alphanumeric path (trail #2)	Trail making	Integer
6349	Total errors traversing numeric path (trail #1)	Trail making	Integer
20247	Total errors traversing numeric path (trail #1)	Trail making	Integer
23278	Total fat mass	Body composition by DXA	Integer
23279	Total fat-free mass	Body composition by DXA	Integer
23280	Total lean mass	Body composition by DXA	Integer
23282	Total tissue mass	Body composition by DXA	Integer
24013	Total traffic load on major roads	Residential air pollution	Integer
21625	Touchscreen cognitive duration	Process durations	Integer
21623	Touchscreen cognitive duration (pilot)	Process durations	Integer
21622	Touchscreen duration	Process durations	Integer
24011	Traffic intensity on the nearest major road	Residential air pollution	Integer
24009	Traffic intensity on the nearest road	Residential air pollution	Integer
23284	Trunk fat mass	Body composition by DXA	Integer
23285	Trunk lean mass	Body composition by DXA	Integer
23013	U14 antigen for Human Herpesvirus-7	Infectious Disease Antigens	Integer
90084	Unique hours of wear in a 24 hour cycle (scattered over multiple days)	Accelerometer wear time duration	Integer
90085	Unique minutes of wear in a 24 hour cycle (scattered over multiple days)	Accelerometer wear time duration	Integer
23044	UreA antigen for Helicobacter pylori	Infectious Disease Antigens	Integer
21641	Urine collection duration	Process durations	Integer
22642	Usual length of each night shift during mixed shift periods	Employment history	Integer
22652	Usual length of each night shift during night shift periods	Employment history	Integer
23288	VAT (visceral adipose tissue) mass	Body composition by DXA	Integer
23289	VAT (visceral adipose tissue) volume	Body composition by DXA	Integer
23003	VCA p18 antigen for Epstein-Barr Virus	Infectious Disease Antigens	Integer
23040	VacA antigen for Helicobacter pylori	Infectious Disease Antigens	Integer
20229	Values entered	Symbol digit substitution	Integer
20200	Values wanted	Symbol digit substitution	Integer
12336	Ventricular rate	ECG at rest, 12-lead	Integer
21631	Verbal interview duration	Process durations	Integer
1528	Water intake	Diet	Integer
12143	Weight (pre-imaging)	Body size measures	Integer
10609	Words answer array (pilot)	Word production	Integer
22501	Year ended full time education	Work environment	Integer
22664	Year gap ended	Employment history	Integer
22663	Year gap started	Employment history	Integer
3659	Year immigrated to UK (United Kingdom)	Ethnicity	Integer
22603	Year job ended	Employment history	Integer
22602	Year job started	Employment history	Integer
34	Year of birth	Baseline characteristics	Integer
22200	Year of birth	Employment history	Integer
22505	Years of bringing up phlegm/sputum/mucus on most days	Medical information	Integer
22503	Years of cough on most days	Medical information	Integer
2684	Years since last breast cancer screening / mammogram	Female-specific factors	Integer
2704	Years since last cervical smear test	Female-specific factors	Integer
23005	ZEBRA antigen for Epstein-Barr Virus	Infectious Disease Antigens	Integer
23002	gE / gI antigen for Varicella Zoster Virus	Infectious Disease Antigens	Integer
23034	momp A antigen for Chlamydia trachomatis	Infectious Disease Antigens	Integer
23033	momp D antigen for Chlamydia trachomatis	Infectious Disease Antigens	Integer
23012	p101 k antigen for Human Herpesvirus-6	Infectious Disease Antigens	Integer
23020	p22 antigen for Toxoplasma gondii	Infectious Disease Antigens	Integer
23038	pGP3 antigen for Chlamydia trachomatis	Infectious Disease Antigens	Integer
23009	pp 28 antigen for Human Cytomegalovirus	Infectious Disease Antigens	Integer
23008	pp 52 antigen for Human Cytomegalovirus	Infectious Disease Antigens	Integer
23007	pp150 Nter antigen for Human Cytomegalovirus	Infectious Disease Antigens	Integer
23021	sag1 antigen for Toxoplasma gondii	Infectious Disease Antigens	Integer
23035	tarp-D F1 antigen for Chlamydia trachomatis	Infectious Disease Antigens	Integer
23036	tarp-D F2 antigen for Chlamydia trachomatis	Infectious Disease Antigens	Integer
12323	12-lead ECG measuring method	ECG at rest, 12-lead	Categorical (single)
5155	3mm asymmetry index for irregular astigmatism level (left)	Autorefraction	Categorical (single)
5152	3mm asymmetry index for irregular astigmatism level (right)	Autorefraction	Categorical (single)
5141	3mm asymmetry index unreliable (left)	Autorefraction	Categorical (single)
5144	3mm asymmetry index unreliable (right)	Autorefraction	Categorical (single)
5136	3mm keratometry result unreliable (left)	Autorefraction	Categorical (single)
5140	3mm keratometry result unreliable (right)	Autorefraction	Categorical (single)
5149	3mm regularity index for irregular astigmatism level (left)	Autorefraction	Categorical (single)
5164	3mm regularity index for irregular astigmatism level (right)	Autorefraction	Categorical (single)
5148	3mm regularity index unreliable (left)	Autorefraction	Categorical (single)
5145	3mm regularity index unreliable (right)	Autorefraction	Categorical (single)
5142	6mm asymmetry index unreliable (left)	Autorefraction	Categorical (single)
5143	6mm asymmetry index unreliable (right)	Autorefraction	Categorical (single)
5138	6mm keratometry result unreliable (left)	Autorefraction	Categorical (single)
5139	6mm keratometry result unreliable (right)	Autorefraction	Categorical (single)
5147	6mm regularity index unreliable (left)	Autorefraction	Categorical (single)
5146	6mm regularity index unreliable (right)	Autorefraction	Categorical (single)
12224	Abdominal MRI measurement completed	Abdominal MRI	Categorical (single)
12223	Abdominal MRI measuring method	Abdominal MRI	Categorical (single)
21027	Abdominal discomfort/pain for 6 months or longer	Digestive health	Categorical (single)
2110	Able to confide	Social support	Categorical (single)
20525	Able to pay rent/mortgage as an adult	Traumatic events	Categorical (single)
6017	Able to walk or cycle unaided for 10 minutes	ECG during exercise	Categorical (single)
22035	Above moderate/vigorous recommendation	MET Scores	Categorical (single)
22036	Above moderate/vigorous/walking recommendation	MET Scores	Categorical (single)
100320	Added milk to espresso	Hot/cold beverages yesterday	Categorical (single)
100280	Added milk to filtered coffee	Hot/cold beverages yesterday	Categorical (single)
